code,Species,Type,Qin,full_rcp26,full_rcp45,full_rcp85,buffer_rcp26,buffer_rcp45,buffer_rcp85,stable_rcp26,stable_rcp45,stable_rcp85
sp451,Alnus lanata,narrow-ranged,DD,VU,CR,CR,VU,CR,CR,EX,EX,EN
sp457,Alphonsea mollis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,LC,LC,NT
sp458,Alphonsea monogyna,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp459,Alphonsea tsangyuanensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp464,Alseodaphne rugosa,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp465,Alseodaphne sichourensis,narrow-ranged,EN,CR,EX,EX,CR,EX,EX,EX,EX,CR
sp466,Alseodaphne yunnanensis,narrow-ranged,EN,EN,EX,EX,EN,EX,EX,EX,EX,EN
sp478,Alstonia henryi,narrow-ranged,VU,VU,VU,VU,CR,VU,VU,VU,VU,EX
sp480,Alstonia mairei,wide-ranged,LC,NT,VU,NT,NT,VU,NT,VU,VU,VU
sp485,Alstonia yunnanensis,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp488,Altingia gracilipes,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp489,Altingia multinervis,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp490,Altingia obovata,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp492,Altingia tenuifolia,wide-ranged,NT,NT,VU,VU,NT,VU,VU,NT,VU,EN
sp493,Altingia yunnanensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp495,Alyxia insularis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,VU
sp496,Alyxia levinei,wide-ranged,LC,EN,EN,LC,EN,EN,LC,EN,EN,NT
sp502,Alyxia sinensis,wide-ranged,LC,NT,VU,EN,NT,VU,EN,NT,VU,EN
sp503,Alyxia villilimba,wide-ranged,LC,EX,EX,LC,EX,EX,LC,EX,EX,NT
