species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp191,Actinidia fasciculoides,wide-ranged,234,0,-1,EX,0,-1,EX,191,-0.18,NT
sp192,Actinidia fasciculoides var. cuneata,wide-ranged,107,1,-0.99,CR,3,-0.97,CR,110,0.03,LC
sp193,Actinidia fasciculoides var. orbiculata,narrow-ranged,43,691,15.07,LC,774,17,LC,1204,27,LC
sp194,Actinidia fortunatii,wide-ranged,990,593,-0.4,VU,371,-0.63,EN,186,-0.81,CR
sp195,Actinidia fulvicoma,wide-ranged,1875,2076,0.11,LC,1962,0.05,LC,1918,0.02,LC
sp196,Actinidia fulvicoma var. cinerascens,wide-ranged,755,1014,0.34,LC,839,0.11,LC,666,-0.12,NT
sp197,Actinidia fulvicoma var. hirsuta,wide-ranged,1298,718,-0.45,VU,517,-0.6,EN,372,-0.71,EN
sp198,Actinidia fulvicoma var. pachyphylla,wide-ranged,264,421,0.59,LC,309,0.17,LC,164,-0.38,VU
sp199,Actinidia grandiflora,narrow-ranged,160,2118,12.24,LC,2082,12.01,LC,951,4.94,LC
sp200,Actinidia hemsleyana,wide-ranged,546,818,0.5,LC,714,0.31,LC,513,-0.06,NT
sp201,Actinidia henryi,wide-ranged,825,212,-0.74,EN,163,-0.8,CR,384,-0.53,EN
sp202,Actinidia kolomikta,wide-ranged,1729,1707,-0.01,NT,1566,-0.09,NT,1338,-0.23,NT
sp203,Actinidia laevissima,narrow-ranged,89,1,-0.99,CR,0,-1,EX,66,-0.26,NT
sp204,Actinidia lanceolata,wide-ranged,1400,1271,-0.09,NT,1144,-0.18,NT,857,-0.39,VU
sp205,Actinidia latifolia var. mollis,wide-ranged,223,250,0.12,LC,203,-0.09,NT,261,0.17,LC
sp206,Actinidia liangguangensis,wide-ranged,296,319,0.08,LC,294,-0.01,NT,196,-0.34,VU
sp207,Actinidia melanandra var. glabrescens,wide-ranged,136,15,-0.89,CR,33,-0.76,EN,3,-0.98,CR
sp208,Actinidia obovata,wide-ranged,245,647,1.64,LC,669,1.73,LC,328,0.34,LC
sp209,Actinidia pilosula,wide-ranged,368,112,-0.7,EN,88,-0.76,EN,102,-0.72,EN
sp210,Actinidia polygama,wide-ranged,3217,2536,-0.21,NT,2397,-0.25,NT,1328,-0.59,EN
sp211,Actinidia rubricaulis,wide-ranged,2336,691,-0.7,EN,603,-0.74,EN,1051,-0.55,EN
sp212,Actinidia rubricaulis var. coriacea,wide-ranged,1754,313,-0.82,CR,288,-0.84,CR,326,-0.81,CR
sp213,Actinidia rudis,wide-ranged,225,285,0.27,LC,246,0.09,LC,235,0.04,LC
sp214,Actinidia rudis var. glabricaulis,wide-ranged,67,108,0.61,LC,97,0.45,LC,123,0.84,LC
sp215,Actinidia rufotricha,narrow-ranged,896,2499,1.79,LC,2538,1.83,LC,2775,2.1,LC
sp216,Actinidia rufotricha var. glomerata,wide-ranged,46,4,-0.91,CR,0,-1,EX,70,0.52,LC
sp217,Actinidia sabiifolia,wide-ranged,600,297,-0.51,EN,160,-0.73,EN,60,-0.9,CR
sp218,Actinidia sorbifolia,wide-ranged,197,3,-0.98,CR,3,-0.98,CR,0,-1,EX
