code,name,level
sp403,Alangium kurzii,LC
sp404,Alangium kurzii var. handelii,LC
sp405,Alangium kwangsiense,LC
sp406,Alangium platanifolium var. trilobum,LC
sp407,Alangium salviifolium,LC
sp408,Alangium yunnanense,EN
sp409,Albertisia laurifolia,NT
sp410,Albizia attopeuensis,EN
sp411,Albizia chinensis,LC
sp412,Albizia corniculata,LC
sp413,Albizia crassiramea,LC
sp414,Albizia garrettii,LC
sp415,Albizia julibrissin,VU
sp416,Albizia kalkora,LC
sp417,Albizia lucidior,LC
sp418,Albizia mollis,LC
sp419,Albizia odoratissima,LC
sp420,Albizia procera,LC
sp421,Albizia sherriffii,LC
sp422,Alchornea davidii,LC
sp423,Alchornea hunanensis,LC
sp424,Alchornea rugosa,LC
sp425,Alchornea rugosa var. pubescens,LC
sp426,Alchornea tiliifolia,LC
sp427,Alchornea trewioides,VU
sp428,Alchornea trewioides var. sinica,LC
sp429,Alcimandra cathcartii,VU
sp430,Aleurites moluccana,LC
sp431,Alhagi sparsifolia,LC
sp432,Alleizettella leucocarpa,LC
sp433,Allomorphia balansae,LC
sp434,Allomorphia baviensis,LC
sp435,Allomorphia urophylla,LC
sp436,Allophylus caudatus,LC
sp437,Allophylus chartaceus,LC
sp438,Allophylus cobbe var. velutinus,LC
sp439,Allophylus dimorphus,DD
sp440,Allophylus hirsutus,LC
sp441,Allophylus longipes,LC
sp442,Allophylus viridis,LC
sp443,Alniphyllum eberhardtii,EN
sp444,Alniphyllum fortunei,LC
sp445,Alnus cremastogyne,LC
sp446,Alnus ferdinandi-coburgii,LC
sp447,Alnus formosana,LC
sp448,Alnus henryi,LC
sp449,Alnus hirsuta,LC
sp450,Alnus japonica,LC
sp451,Alnus lanata,DD
sp452,Alnus mandshurica,LC
sp453,Alnus nepalensis,LC
sp454,Alnus trabeculosa,LC
sp455,Alphitonia incana,LC
sp456,Alphonsea boniana,LC
sp457,Alphonsea mollis,LC
sp458,Alphonsea monogyna,VU
sp459,Alphonsea tsangyuanensis,EN
sp460,Alseodaphne andersonii,LC
sp461,Alseodaphne hainanensis,VU
sp462,Alseodaphne huanglianshanensis,LC
sp463,Alseodaphne petiolaris,NT
sp464,Alseodaphne rugosa,LC
sp465,Alseodaphne sichourensis,EN
sp466,Alseodaphne yunnanensis,EN
sp467,Alsophila andersonii,EN
sp468,Alsophila austro-yunnanensis,CR
sp469,Alsophila costularis,LC
