code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp160,Acer tegmentosum,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp161,Acer tenellum,narrow-ranged,CR,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp162,Acer tenellum var. septemlobum,narrow-ranged,CR,LC,LC,LC,LC,CR,EN,EX,EX,CR,Partial gap
sp163,Acer thomsonii,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp164,Acer tibetense,wide-ranged,EN,LC,NT,NT,VU,NT,VU,VU,VU,NT,Gap
sp165,Acer tonkinense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp166,Acer triflorum,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp167,Acer truncatum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp168,Acer tsinglingense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp169,Acer tutcheri,wide-ranged,VU,NT,LC,LC,LC,NT,LC,NT,NT,VU,Covered
sp170,Acer ukurunduense,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp171,Acer wangchii,wide-ranged,VU,LC,LC,LC,LC,LC,LC,VU,NT,NT,Gap
sp172,Acer wardii,wide-ranged,EN,LC,LC,LC,LC,LC,LC,VU,VU,VU,Gap
sp173,Acer wilsonii,wide-ranged,LC,EN,EN,EN,EN,EN,EN,EN,EN,CR,Covered
sp174,Acer yui,narrow-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp175,Acidosasa chienouensis,wide-ranged,LC,VU,NT,LC,NT,VU,LC,EN,EN,EN,Gap
sp176,Acidosasa lingchuanensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp177,Acidosasa nanunica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp178,Acidosasa notata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp179,Acidosasa purpurea,wide-ranged,LC,LC,LC,LC,VU,LC,CR,CR,EX,VU,Partial gap
sp180,Acrocarpus fraxinifolius,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp181,Acronychia pedunculata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp182,Actephila excelsa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp183,Actephila merrilliana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp184,Actinidia arguta,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Covered
sp185,Actinidia callosa var. acuminata,narrow-ranged,CR,LC,LC,LC,NT,LC,LC,VU,EN,EN,Gap
