code,name,Type,Qin
sp274,Aeschynanthus austroyunnanensis,wide-ranged,LC
sp275,Aeschynanthus austroyunnanensis var. guangxiensis,wide-ranged,LC
sp276,Aeschynanthus bracteatus,wide-ranged,LC
sp277,Aeschynanthus buxifolius,wide-ranged,LC
sp279,Aeschynanthus dolichanthus,wide-ranged,LC
sp280,Aeschynanthus hookeri,wide-ranged,LC
sp281,Aeschynanthus humilis,wide-ranged,LC
sp284,Aeschynanthus lasiocalyx,wide-ranged,LC
sp285,Aeschynanthus linearifolius,wide-ranged,LC
sp286,Aeschynanthus lineatus,wide-ranged,LC
sp287,Aeschynanthus longicaulis,wide-ranged,LC
sp288,Aeschynanthus medogensis,wide-ranged,LC
sp289,Aeschynanthus mengxingensis,wide-ranged,LC
sp290,Aeschynanthus mimetes,wide-ranged,LC
sp291,Aeschynanthus moningeriae,wide-ranged,LC
sp293,Aeschynanthus planipetiolatus,wide-ranged,VU
sp296,Aeschynanthus stenosepalus,wide-ranged,LC
sp297,Aeschynanthus superbus,wide-ranged,LC
sp298,Aeschynanthus tengchungensis,wide-ranged,LC
sp299,Aeschynanthus wardii,wide-ranged,LC
sp300,Aesculus assamica,wide-ranged,LC
sp301,Aesculus chinensis,wide-ranged,VU
sp302,Aesculus chinensis var. wilsonii,wide-ranged,LC
sp303,Afgekia filipes,wide-ranged,LC
sp304,Aganope latifolia,wide-ranged,LC
sp305,Aganope thyrsiflora,wide-ranged,LC
sp306,Aganosma cymosa,wide-ranged,LC
sp307,Aganosma marginata,wide-ranged,LC
sp308,Aganosma schlechteriana,wide-ranged,LC
sp309,Aganosma siamensis,wide-ranged,LC
sp311,Agapetes angulata,wide-ranged,NT
sp312,Agapetes anonyma,wide-ranged,DD
sp315,Agapetes buxifolia,wide-ranged,DD
sp316,Agapetes camelliifolia,wide-ranged,DD
sp317,Agapetes ciliata,wide-ranged,NT
sp318,Agapetes discolor,wide-ranged,DD
sp319,Agapetes epacridea,wide-ranged,NT
sp320,Agapetes flava,wide-ranged,DD
sp321,Agapetes forrestii,wide-ranged,DD
sp322,Agapetes griffithii,wide-ranged,DD
sp323,Agapetes hyalocheilos,wide-ranged,DD
sp324,Agapetes incurvata,wide-ranged,DD
sp325,Agapetes interdicta,wide-ranged,NT
sp326,Agapetes lacei,wide-ranged,LC
sp327,Agapetes lacei var. glaberrima,wide-ranged,NT
sp328,Agapetes leiocarpa,wide-ranged,DD
sp329,Agapetes leucocarpa,wide-ranged,DD
sp331,Agapetes listeri,wide-ranged,DD
sp332,Agapetes lobbii,wide-ranged,LC
sp333,Agapetes macrophylla,wide-ranged,DD
sp334,Agapetes malipoensis,wide-ranged,NT
sp335,Agapetes mannii,wide-ranged,LC
sp336,Agapetes marginata,wide-ranged,NT
sp337,Agapetes medogensis,wide-ranged,LC
sp338,Agapetes megacarpa,wide-ranged,VU
sp339,Agapetes miniata,wide-ranged,DD
sp340,Agapetes miranda,wide-ranged,DD
sp341,Agapetes mitrarioides,wide-ranged,DD
sp344,Agapetes oblonga,wide-ranged,LC
sp345,Agapetes obovata,wide-ranged,DD
sp346,Agapetes pensilis,wide-ranged,DD
sp348,Agapetes praeclara,wide-ranged,VU
sp349,Agapetes praestigiosa,wide-ranged,DD
sp351,Agapetes pubiflora,wide-ranged,NT
sp352,Agapetes pyrolifolia,wide-ranged,DD
sp353,Agapetes refracta,wide-ranged,DD
sp354,Agapetes rubrobracteata,wide-ranged,LC
sp357,Aglaia elaeagnoidea,wide-ranged,NT
sp358,Aglaia lawii,wide-ranged,VU
sp359,Aglaia odorata,wide-ranged,LC
sp360,Aglaia perviridis,wide-ranged,NT
sp361,Aglaia rimosa,wide-ranged,LC
sp362,Aglaia spectabilis,wide-ranged,LC
sp364,Aidia canthioides,wide-ranged,LC
sp365,Aidia cochinchinensis,wide-ranged,LC
sp366,Aidia oxyodonta,wide-ranged,LC
sp367,Aidia pycnantha,wide-ranged,LC
sp368,Aidia salicifolia,wide-ranged,NT
sp369,Aidia yunnanensis,wide-ranged,DD
sp370,Ailanthus altissima,wide-ranged,LC
sp371,Ailanthus altissima var. sutchuenensis,wide-ranged,LC
sp372,Ailanthus fordii,wide-ranged,NT
sp373,Ailanthus giraldii,wide-ranged,LC
sp374,Ailanthus triphysa,wide-ranged,LC
sp375,Ailanthus vilmoriniana,wide-ranged,LC
sp376,Ajania fruticulosa,wide-ranged,LC
sp377,Ajania nematoloba,wide-ranged,DD
sp380,Ajania potaninii,wide-ranged,DD
sp381,Ajania purpurea,wide-ranged,LC
sp382,Ajania quercifolia,wide-ranged,LC
sp383,Ajania ramosa,wide-ranged,LC
sp384,Ajania salicifolia,wide-ranged,LC
sp385,Ajania scharnhorstii,wide-ranged,LC
sp386,Ajania tibetica,wide-ranged,LC
sp387,Ajania variifolia,wide-ranged,LC
sp389,Akebia longeracemosa,wide-ranged,DD
sp390,Akebia quinata,wide-ranged,LC
sp391,Akebia trifoliata,wide-ranged,LC
sp392,Akebia trifoliata ssp. australis,wide-ranged,LC
sp393,Alangium alpinum,wide-ranged,LC
sp394,Alangium barbatum,wide-ranged,LC
sp395,Alangium chinense,wide-ranged,LC
sp396,Alangium chinense ssp. pauciflorum,wide-ranged,LC
sp397,Alangium chinense ssp. strigosum,wide-ranged,LC
sp398,Alangium chinense ssp. triangulare,wide-ranged,LC
sp399,Alangium faberi,wide-ranged,LC
sp400,Alangium faberi var. heterophyllum,wide-ranged,LC
sp401,Alangium faberi var. perforatum,wide-ranged,LC
sp402,Alangium faberi var. platyphyllum,wide-ranged,LC
sp403,Alangium kurzii,wide-ranged,LC
sp404,Alangium kurzii var. handelii,wide-ranged,LC
sp405,Alangium kwangsiense,wide-ranged,LC
sp406,Alangium platanifolium var. trilobum,wide-ranged,LC
sp407,Alangium salviifolium,wide-ranged,LC
sp408,Alangium yunnanense,wide-ranged,EN
sp409,Albertisia laurifolia,wide-ranged,NT
sp411,Albizia chinensis,wide-ranged,LC
sp412,Albizia corniculata,wide-ranged,LC
sp413,Albizia crassiramea,wide-ranged,LC
sp414,Albizia garrettii,wide-ranged,LC
sp415,Albizia julibrissin,wide-ranged,VU
sp416,Albizia kalkora,wide-ranged,LC
sp417,Albizia lucidior,wide-ranged,LC
sp418,Albizia mollis,wide-ranged,LC
sp419,Albizia odoratissima,wide-ranged,LC
sp420,Albizia procera,wide-ranged,LC
sp421,Albizia sherriffii,wide-ranged,LC
sp422,Alchornea davidii,wide-ranged,LC
sp423,Alchornea hunanensis,wide-ranged,LC
sp424,Alchornea rugosa,wide-ranged,LC
sp425,Alchornea rugosa var. pubescens,wide-ranged,LC
sp426,Alchornea tiliifolia,wide-ranged,LC
sp427,Alchornea trewioides,wide-ranged,VU
sp428,Alchornea trewioides var. sinica,wide-ranged,LC
sp429,Alcimandra cathcartii,wide-ranged,VU
sp430,Aleurites moluccana,wide-ranged,LC
sp431,Alhagi sparsifolia,wide-ranged,LC
sp432,Alleizettella leucocarpa,wide-ranged,LC
sp433,Allomorphia balansae,wide-ranged,LC
sp434,Allomorphia baviensis,wide-ranged,LC
sp435,Allomorphia urophylla,wide-ranged,LC
sp436,Allophylus caudatus,wide-ranged,LC
sp438,Allophylus cobbe var. velutinus,wide-ranged,LC
sp440,Allophylus hirsutus,wide-ranged,LC
sp441,Allophylus longipes,wide-ranged,LC
sp442,Allophylus viridis,wide-ranged,LC
sp443,Alniphyllum eberhardtii,wide-ranged,EN
sp444,Alniphyllum fortunei,wide-ranged,LC
sp445,Alnus cremastogyne,wide-ranged,LC
sp446,Alnus ferdinandi-coburgii,wide-ranged,LC
sp447,Alnus formosana,wide-ranged,LC
sp448,Alnus henryi,wide-ranged,LC
sp449,Alnus hirsuta,wide-ranged,LC
sp450,Alnus japonica,wide-ranged,LC
sp452,Alnus mandshurica,wide-ranged,LC
sp453,Alnus nepalensis,wide-ranged,LC
sp454,Alnus trabeculosa,wide-ranged,LC
sp455,Alphitonia incana,wide-ranged,LC
sp456,Alphonsea boniana,wide-ranged,LC
sp457,Alphonsea mollis,wide-ranged,LC
sp458,Alphonsea monogyna,wide-ranged,VU
sp459,Alphonsea tsangyuanensis,wide-ranged,EN
sp460,Alseodaphne andersonii,wide-ranged,LC
sp463,Alseodaphne petiolaris,wide-ranged,NT
sp467,Alsophila andersonii,wide-ranged,EN
sp469,Alsophila costularis,wide-ranged,LC
sp470,Alsophila denticulata,wide-ranged,LC
sp471,Alsophila gigantea,wide-ranged,LC
sp472,Alsophila khasyana,wide-ranged,LC
sp473,Alsophila latebrosa,wide-ranged,LC
sp475,Alsophila metteniana,wide-ranged,LC
sp476,Alsophila podophylla,wide-ranged,LC
sp477,Alsophila spinulosa,wide-ranged,LC
sp479,Alstonia macrophylla,wide-ranged,LC
sp480,Alstonia mairei,wide-ranged,LC
sp481,Alstonia neriifolia,wide-ranged,VU
sp482,Alstonia rostrata,wide-ranged,LC
sp484,Alstonia scholaris,wide-ranged,LC
sp485,Alstonia yunnanensis,wide-ranged,LC
sp486,Altingia chinensis,wide-ranged,LC
sp487,Altingia excelsa,wide-ranged,LC
sp488,Altingia gracilipes,wide-ranged,LC
sp490,Altingia obovata,wide-ranged,VU
sp491,Altingia siamensis,wide-ranged,VU
sp492,Altingia tenuifolia,wide-ranged,NT
sp493,Altingia yunnanensis,wide-ranged,EN
sp494,Alyxia fascicularis,wide-ranged,LC
sp496,Alyxia levinei,wide-ranged,LC
sp497,Alyxia marginata,wide-ranged,LC
sp498,Alyxia odorata,wide-ranged,LC
sp500,Alyxia schlechteri,wide-ranged,LC
sp501,Alyxia siamensis,wide-ranged,LC
sp502,Alyxia sinensis,wide-ranged,LC
sp503,Alyxia villilimba,wide-ranged,LC
sp504,Amalocalyx microlobus,wide-ranged,LC
sp505,Amelanchier asiatica,wide-ranged,DD
sp506,Amelanchier sinica,wide-ranged,LC
sp507,Amentotaxus argotaenia,wide-ranged,NT
sp509,Amentotaxus yunnanensis,wide-ranged,VU
sp510,Amesiodendron chinense,wide-ranged,VU
sp512,Ammopiptanthus mongolicus,wide-ranged,VU
sp516,Ampelocalamus luodianensis,wide-ranged,LC
sp527,Ampelopsis aconitifolia var. palmiloba,wide-ranged,LC
sp528,Ampelopsis acutidentata,wide-ranged,LC
sp529,Ampelopsis bodinieri,wide-ranged,LC
sp530,Ampelopsis bodinieri var. cinerea,wide-ranged,LC
sp531,Ampelopsis cantoniensis,wide-ranged,LC
sp532,Ampelopsis chaffanjonii,wide-ranged,LC
sp533,Ampelopsis delavayana,wide-ranged,LC
sp534,Ampelopsis delavayana var. setulosa,wide-ranged,LC
sp535,Ampelopsis glandulosa,wide-ranged,DD
sp536,Ampelopsis glandulosa var. heterophylla,wide-ranged,LC
sp537,Ampelopsis glandulosa var. kulingensis,wide-ranged,LC
sp538,Ampelopsis grossedentata,wide-ranged,LC
sp539,Ampelopsis humulifolia,wide-ranged,LC
sp540,Ampelopsis japonica,wide-ranged,LC
sp541,Ampelopsis megalophylla,wide-ranged,LC
sp542,Ampelopsis megalophylla var. jiangxiensis,wide-ranged,LC
sp543,Ampelopsis rubifolia,wide-ranged,LC
sp544,Amygdalus communis,wide-ranged,LC
sp545,Amygdalus davidiana,wide-ranged,VU
sp546,Amygdalus ferganensis,wide-ranged,DD
sp547,Amygdalus kansuensis,wide-ranged,LC
sp548,Amygdalus mira,wide-ranged,LC
sp549,Amygdalus mongolica,wide-ranged,VU
sp550,Amygdalus nana,wide-ranged,EN
sp551,Amygdalus pedunculata,wide-ranged,NT
sp552,Amygdalus tangutica,wide-ranged,DD
sp553,Amygdalus triloba,wide-ranged,LC
sp554,Anaxagorea luzonensis,wide-ranged,LC
sp555,Ancistrocladus tectorius,wide-ranged,VU
sp558,Anna ophiorrhizoides,wide-ranged,LC
sp559,Annamocarya sinensis,wide-ranged,EN
sp560,Anneslea fragrans,wide-ranged,LC
sp561,Anodendron affine,wide-ranged,LC
sp562,Anodendron formicinum,wide-ranged,LC
sp563,Anogeissus acuminata,wide-ranged,NT
sp564,Antheroporum glaucum,wide-ranged,LC
sp565,Antheroporum harmandii,wide-ranged,NT
sp566,Antiaris toxicaria,wide-ranged,NT
sp567,Antidesma acidum,wide-ranged,LC
sp568,Antidesma bunius,wide-ranged,LC
sp569,Antidesma fordii,wide-ranged,LC
sp570,Antidesma ghaesembilla,wide-ranged,LC
sp571,Antidesma hainanense,wide-ranged,LC
sp572,Antidesma japonicum,wide-ranged,LC
sp573,Antidesma maclurei,wide-ranged,LC
sp574,Antidesma montanum,wide-ranged,LC
sp575,Antidesma montanum var. microphyllum,wide-ranged,LC
sp578,Antirhea chinensis,wide-ranged,LC
sp579,Aphanamixis polystachya,wide-ranged,LC
sp580,Aphananthe aspera,wide-ranged,LC
sp581,Aphananthe cuspidata,wide-ranged,LC
sp582,Apocynum pictum,wide-ranged,LC
sp583,Apocynum venetum,wide-ranged,LC
sp584,Apodytes dimidiata,wide-ranged,LC
sp585,Aporosa dioica,wide-ranged,LC
sp586,Aporosa villosa,wide-ranged,LC
sp587,Aporosa yunnanensis,wide-ranged,LC
sp588,Apterosperma oblata,wide-ranged,VU
sp589,Aquilaria sinensis,wide-ranged,VU
sp590,Aquilaria yunnanensis,wide-ranged,VU
sp591,Aralia armata,wide-ranged,DD
sp592,Aralia bipinnata,wide-ranged,LC
sp593,Aralia chinensis,wide-ranged,LC
sp594,Aralia cordata,wide-ranged,LC
sp595,Aralia dasyphylla,wide-ranged,LC
sp596,Aralia debilis,wide-ranged,NT
sp597,Aralia decaisneana,wide-ranged,LC
sp598,Aralia echinocaulis,wide-ranged,LC
sp599,Aralia elata,wide-ranged,VU
sp600,Aralia foliolosa,wide-ranged,LC
sp601,Aralia gintungensis,wide-ranged,LC
sp603,Aralia searelliana,wide-ranged,LC
sp604,Aralia spinifolia,wide-ranged,LC
sp606,Aralia thomsonii,wide-ranged,LC
sp607,Aralia undulata,wide-ranged,LC
sp609,Arcangelisia gusanlung,wide-ranged,NT
sp610,Arceuthobium chinense,wide-ranged,LC
sp611,Arceuthobium oxycedri,wide-ranged,LC
sp612,Arceuthobium pini,wide-ranged,LC
sp613,Arceuthobium sichuanense,wide-ranged,LC
sp614,Arceuthobium tibetense,wide-ranged,LC
sp615,Archakebia apetala,wide-ranged,LC
sp616,Archiboehmeria atrata,wide-ranged,VU
sp617,Archidendron alternifoliolatum,wide-ranged,NT
sp618,Archidendron balansae,wide-ranged,NT
sp619,Archidendron chevalieri,wide-ranged,NT
sp620,Archidendron clypearia,wide-ranged,LC
sp622,Archidendron eberhardtii,wide-ranged,LC
sp623,Archidendron ellipticum,wide-ranged,CR
sp624,Archidendron kerrii,wide-ranged,VU
sp625,Archidendron laoticum,wide-ranged,LC
sp626,Archidendron lucidum,wide-ranged,LC
sp627,Archidendron robinsonii,wide-ranged,LC
sp629,Archidendron turgidum,wide-ranged,LC
sp630,Archidendron utile,wide-ranged,LC
sp631,Arctous alpinus,wide-ranged,LC
sp632,Arctous microphyllus,wide-ranged,LC
sp633,Arctous ruber,wide-ranged,LC
sp634,Ardisia alyxiifolia,wide-ranged,LC
sp635,Ardisia argenticaulis,wide-ranged,DD
sp636,Ardisia balansana,wide-ranged,LC
sp637,Ardisia brevicaulis,wide-ranged,LC
sp638,Ardisia brunnescens,wide-ranged,LC
sp640,Ardisia caudata,wide-ranged,LC
sp641,Ardisia chinensis,wide-ranged,DD
sp642,Ardisia conspersa,wide-ranged,LC
sp643,Ardisia cornudentata,wide-ranged,LC
sp644,Ardisia corymbifera,wide-ranged,LC
sp645,Ardisia crassinervosa,wide-ranged,LC
sp646,Ardisia crenata,wide-ranged,LC
sp647,Ardisia crispa,wide-ranged,LC
sp648,Ardisia densilepidotula,wide-ranged,LC
sp649,Ardisia ensifolia,wide-ranged,LC
sp650,Ardisia faberi,wide-ranged,LC
sp651,Ardisia filiformis,wide-ranged,DD
sp652,Ardisia fordii,wide-ranged,LC
sp653,Ardisia garrettii,wide-ranged,LC
sp654,Ardisia gigantifolia,wide-ranged,LC
sp655,Ardisia hanceana,wide-ranged,LC
sp656,Ardisia humilis,wide-ranged,LC
sp657,Ardisia japonica,wide-ranged,LC
sp658,Ardisia lindleyana,wide-ranged,LC
sp659,Ardisia maclurei,wide-ranged,LC
